2.057122 + 0.000000i	-0.1934732 - 0.5927912i	0.5868694 - 1.078409i	-0.2925538 - 0.1994154i	-1.408628 - 1.529155i	-0.2299437 + 0.4784938i	-1.942834 + 0.6579844i	0.3557223 + 0.3733725i	-0.2758867 + 1.548940i	0.1027341 - 0.4183908i	1.330257 + 1.349019i	-0.1601681 - 0.5234308i	1.752198 - 0.7320553i	-0.2759080 - 0.02484974i	0.008411109 - 1.785484i	-0.3125008 + 0.04825056i
-0.1934732 + 0.5927912i	2.480858 + 0.000000i	0.2620471 + 0.6696610i	1.292659 - 2.025952i	0.3287090 - 0.5085083i	-1.488484 - 2.078430i	0.1971257 - 0.6152647i	-2.231162 + 0.7272967i	-0.9200512 - 0.5242242i	-0.5479271 + 2.074697i	-0.8840268 + 0.4509820i	1.886462 + 1.965152i	0.1878269 + 1.370331i	1.848745 - 0.8564237i	0.8887483 + 0.7920833i	-0.07631078 - 2.097624i
0.5868694 + 1.078409i	0.2620471 - 0.6696610i	1.092617 + 0.000000i	-0.1839110 - 0.4833787i	0.5951916 - 1.199281i	-0.5607451 + 0.1698989i	-0.8974797 - 1.020635i	0.1258433 + 0.5419357i	-1.215724 + 0.3650799i	0.5785851 + 0.04594651i	-0.5166605 + 1.186664i	0.4820857 - 0.5651028i	0.9702091 + 0.7856258i	-0.07633189 - 0.4044928i	1.312939 - 0.6154166i	-0.3458406 - 0.07036668i
-0.2925538 + 0.1994154i	1.292659 + 2.025952i	-0.1839110 + 0.4833787i	2.810897 + 0.000000i	0.6365987 - 0.3186556i	1.162675 - 2.383946i	0.2756904 - 0.1965495i	-1.613602 - 1.567790i	-0.2024932 - 0.9785079i	-2.103404 + 0.4862300i	-0.8714521 - 0.1782265i	-0.8712794 + 2.692930i	-0.8307434 + 0.8516761i	1.772253 + 1.351164i	0.02659240 + 0.9574795i	1.876052 - 1.131833i
-1.408628 + 1.529155i	0.3287090 + 0.5085083i	0.5951916 + 1.199281i	0.6365987 + 0.3186556i	2.500417 + 0.000000i	0.3755324 - 0.4805742i	0.9647441 - 2.072014i	-0.2179593 - 0.3190263i	-1.053212 - 1.450930i	0.04174522 - 0.01000720i	-2.238911 - 0.02832016i	-0.03767160 + 0.1851730i	-0.9224068 + 1.831879i	0.1663691 + 0.2477112i	1.408173 + 1.334217i	0.5914665 + 0.05014949i
-0.2299437 - 0.4784938i	-1.488484 + 2.078430i	-0.5607451 - 0.1698989i	1.162675 + 2.383946i	0.3755324 + 0.4805742i	2.868856 + 0.000000i	0.3244322 + 0.4589296i	0.8487622 - 2.322603i	0.9161881 - 0.4909774i	-1.434386 - 1.863019i	0.008116871 - 0.9460472i	-2.906141 + 0.4515982i	-1.221207 - 0.6677784i	-0.3842824 + 2.235229i	-1.087398 + 0.2410554i	1.920189 + 1.300177i
-1.942834 - 0.6579844i	0.1971257 + 0.6152647i	-0.8974797 + 1.020635i	0.2756904 + 0.1965495i	0.9647441 + 2.072014i	0.3244322 - 0.4589296i	2.485689 + 0.000000i	-0.4653592 - 0.1752333i	0.7554711 - 1.642984i	-0.2219550 + 0.5928656i	-1.042309 - 1.826178i	0.1618649 + 0.6362634i	-2.135883 + 0.1503394i	0.3418270 + 0.04330784i	-0.6460887 + 1.996942i	0.2986449 - 0.03433196i
0.3557223 - 0.3733725i	-2.231162 - 0.7272967i	0.1258433 - 0.5419357i	-1.613602 + 1.567790i	-0.2179593 + 0.3190263i	0.8487622 + 2.322603i	-0.4653592 + 0.1752333i	2.513294 + 0.000000i	0.5412920 + 0.6358714i	1.125525 - 1.860750i	0.8111060 - 0.1415715i	-1.174729 - 2.408456i	0.2341676 - 1.106387i	-1.965774 + 0.4165666i	-0.3318707 - 0.8584175i	-0.4861265 + 2.000298i
-0.2758867 - 1.548940i	-0.9200512 + 0.5242242i	-1.215724 - 0.3650799i	-0.2024932 + 0.9785079i	-1.053212 + 1.450930i	0.9161881 + 0.4909774i	0.7554711 + 1.642984i	0.5412920 - 0.6358714i	1.807403 + 0.000000i	-0.4409152 - 0.5635257i	1.050914 - 1.467425i	-0.8992109 - 0.01706539i	-0.9625475 - 1.573336i	-0.4446248 + 0.6467874i	-1.915703 + 0.2104785i	0.2789378 + 0.6423892i
0.1027341 + 0.4183908i	-0.5479271 - 2.074697i	0.5785851 - 0.04594651i	-2.103404 - 0.4862300i	0.04174522 + 0.01000720i	-1.434386 + 1.863019i	-0.2219550 - 0.5928656i	1.125525 + 1.860750i	-0.4409152 + 0.5635257i	2.330558 + 0.000000i	0.1478840 + 0.6171874i	1.332998 - 2.174682i	0.9047216 - 0.01696056i	-1.326159 - 1.491032i	0.7892232 - 0.6054513i	-1.916477 + 0.6875166i
1.330257 - 1.349019i	-0.8840268 - 0.4509820i	-0.5166605 - 1.186664i	-0.8714521 + 0.1782265i	-2.238911 + 0.02832016i	0.008116871 + 0.9460472i	-1.042309 + 1.826178i	0.8111060 + 0.1415715i	1.050914 + 1.467425i	0.1478840 - 0.6171874i	2.268872 + 0.000000i	-0.4057695 - 0.6617181i	0.8693599 - 1.859551i	-0.6462468 + 0.02358627i	-1.352187 - 1.443665i	-0.4969414 + 0.4970602i
-0.1601681 + 0.5234308i	1.886462 - 1.965152i	0.4820857 + 0.5651028i	-0.8712794 - 2.692930i	-0.03767160 - 0.1851730i	-2.906141 - 0.4515982i	0.1618649 - 0.6362634i	-1.174729 + 2.408456i	-0.8992109 + 0.01706539i	1.332998 + 2.174682i	-0.4057695 + 0.6617181i	3.385531 + 0.000000i	0.8290188 + 0.9171624i	0.6947447 - 2.304583i	1.122953 + 0.2784876i	-1.892366 - 1.562923i
1.752198 + 0.7320553i	0.1878269 - 1.370331i	0.9702091 - 0.7856258i	-0.8307434 - 0.8516761i	-0.9224068 - 1.831879i	-1.221207 + 0.6677784i	-2.135883 - 0.1503394i	0.2341676 + 1.106387i	-0.9625475 + 1.573336i	0.9047216 + 0.01696056i	0.8693599 + 1.859551i	0.8290188 - 0.9171624i	2.266207 + 0.000000i	-0.3749400 - 0.8800950i	0.9388376 - 1.811907i	-1.053990 - 0.2020529i
-0.2759080 + 0.02484974i	1.848745 + 0.8564237i	-0.07633189 + 0.4044928i	1.772253 - 1.351164i	0.1663691 - 0.2477112i	-0.3842824 - 2.235229i	0.3418270 - 0.04330784i	-1.965774 - 0.4165666i	-0.4446248 - 0.6467874i	-1.326159 + 1.491032i	-0.6462468 - 0.02358627i	0.6947447 + 2.304583i	-0.3749400 + 0.8800950i	1.961977 + 0.000000i	0.2601740 + 0.7960484i	0.7330869 - 1.736922i
0.008411109 + 1.785484i	0.8887483 - 0.7920833i	1.312939 + 0.6154166i	0.02659240 - 0.9574795i	1.408173 - 1.334217i	-1.087398 - 0.2410554i	-0.6460887 - 1.996942i	-0.3318707 + 0.8584175i	-1.915703 - 0.2104785i	0.7892232 + 0.6054513i	-1.352187 + 1.443665i	1.122953 - 0.2784876i	0.9388376 + 1.811907i	0.2601740 - 0.7960484i	2.223925 + 0.000000i	-0.5346202 - 0.5514099i
-0.3125008 - 0.04825056i	-0.07631078 + 2.097624i	-0.3458406 + 0.07036668i	1.876052 + 1.131833i	0.5914665 - 0.05014949i	1.920189 - 1.300177i	0.2986449 + 0.03433196i	-0.4861265 - 2.000298i	0.2789378 - 0.6423892i	-1.916477 - 0.6875166i	-0.4969414 - 0.4970602i	-1.892366 + 1.562923i	-1.053990 + 0.2020529i	0.7330869 + 1.736922i	-0.5346202 + 0.5514099i	2.039945 + 0.000000i
