-0.1369047 - 0.09581648i	-0.06415626 + 0.04787934i	0.4502581 - 0.02021188i	-0.06087385 + 0.1577062i	-0.02091082 - 0.05738860i	0.08276191 - 0.1057854i	0.2739072 + 0.1604115i	-0.07058416 + 0.1084735i	0.07082137 + 0.3833590i	0.01618078 + 0.06164156i	0.4688985 + 0.02777217i	0.2036023 - 0.1850771i	-0.08962053 + 0.1405764i	-0.2694730 + 0.1977288i	-0.05212797 + 0.008048630i	0.000000 + 0.000000i
-0.08758806 + 0.1587567i	-0.1833793 + 0.1784041i	-0.2592916 - 0.1296145i	-0.3397331 - 0.1556925i	0.07083446 + 0.3032542i	-0.09689991 + 0.2991730i	0.07225359 + 0.2142469i	-0.1460849 + 0.3461457i	0.1650591 - 0.07612878i	0.08867513 - 0.1692648i	0.05614004 - 0.01414403i	0.2707881 + 0.06492323i	-0.03317486 + 0.1227328i	0.02126125 + 0.01289958i	-0.01272933 - 0.3499027i	0.000000 + 0.000000i
0.2889543 - 0.06633636i	0.1282065 - 0.1630027i	-0.2753491 - 0.3225627i	0.005100230 + 0.2606440i	0.01387308 - 0.04941838i	0.1638897 - 0.04975042i	-0.3748400 + 0.04073174i	-0.3828275 - 0.01792945i	-0.01887407 + 0.06642091i	0.1051050 - 0.09367120i	0.1142236 + 0.01594592i	-0.02650703 - 0.2589664i	0.1260196 + 0.3097986i	-0.2186256 - 0.1774401i	-0.05768935 - 0.01173780i	0.000000 + 0.000000i
-0.02686909 - 0.2004750i	0.2298704 - 0.06374668i	-0.008671750 + 0.04431222i	-0.1102543 - 0.1821802i	-0.2781500 - 0.2420831i	0.04384514 - 0.1495293i	0.1544153 - 0.01465848i	-0.09684414 + 0.03274710i	-0.02831708 - 0.3756992i	-0.4675473 - 0.09136339i	-0.03310923 - 0.1379571i	0.1754568 - 0.1550588i	-0.1630661 + 0.2265782i	-0.06828804 - 0.003163203i	0.3129426 - 0.1888000i	0.000000 + 0.000000i
-0.4251050 + 0.06263572i	-0.2801547 + 0.4338600i	0.04688751 - 0.1821561i	0.2229058 + 0.02168006i	-0.001169680 - 0.1238819i	0.1314958 - 0.2140763i	-0.01355334 - 0.04615730i	0.02250411 + 0.1007256i	-0.1075367 - 0.1383131i	-0.02773618 - 0.05012243i	-0.02630759 + 0.2162406i	0.03311240 - 0.07847202i	0.2863851 + 0.06092416i	-0.04488971 - 0.4306283i	0.09866199 + 0.008365390i	0.000000 + 0.000000i
-0.1431562 - 0.08793651i	-0.1369185 + 0.1027197i	-0.3503920 + 0.2557553i	-0.2666444 + 0.1166430i	-0.06236462 - 0.04165115i	-0.09021716 + 0.1809997i	-0.05790507 - 0.2762072i	0.1254924 - 0.07970157i	0.1460333 - 0.02798619i	0.04312936 + 0.1902755i	0.4294666 + 0.09224748i	-0.2660639 - 0.01363067i	-0.1006049 + 0.1790126i	-0.05178092 - 0.05230002i	0.3203050 + 0.2168813i	0.000000 + 0.000000i
-0.2953155 - 0.1302163i	0.4695163 - 0.04133860i	-0.003299009 - 0.04647313i	-0.1439899 - 0.1076912i	0.3053657 + 0.009607906i	-0.03641524 + 0.05366388i	-0.03454258 + 0.2559625i	-0.03467462 - 0.1517451i	0.1594766 + 0.2598692i	-0.2497361 + 0.1006086i	0.08931279 + 0.03907752i	-0.06153317 + 0.09050839i	0.3469613 + 0.08629131i	0.3344564 - 0.1468022i	0.04981668 - 0.005726883i	0.000000 + 0.000000i
-0.05146968 - 0.08462647i	0.003086244 + 0.08217472i	0.1584248 + 0.04726219i	-0.07909723 - 0.3619788i	-0.03643692 + 0.2084406i	0.1814706 + 0.1505816i	-0.2100749 + 0.2767603i	-0.04537868 - 0.04997502i	0.01160310 - 0.3170104i	0.1466920 + 0.2718710i	0.07059307 - 0.2118132i	0.01258971 - 0.4457656i	0.006811078 - 0.1622780i	-0.02822193 - 0.05727818i	-0.08109032 + 0.3336679i	0.000000 + 0.000000i
-0.1258518 - 0.008242715i	0.06863748 - 0.04504589i	0.1416687 - 0.2210234i	-0.04945765 + 0.3648067i	-0.004698269 - 0.1848074i	-0.3053645 + 0.2020483i	-0.2536242 + 0.1166376i	-0.03346754 + 0.1814342i	-0.2607059 - 0.3206195i	-0.09529605 - 0.1379167i	0.2380121 + 0.1697956i	0.04211970 - 0.02122780i	-0.007865822 - 0.2948661i	0.2169756 + 0.2416227i	0.04652935 + 0.1071563i	0.000000 + 0.000000i
0.03125288 + 0.2512108i	0.03033992 + 0.08231103i	0.1769202 + 0.1077040i	0.06158387 - 0.03702927i	0.08464150 + 0.06456676i	-0.01445716 - 0.1426366i	-0.07182339 - 0.02015844i	-0.3453702 + 0.3132612i	0.08967093 - 0.1246615i	-0.2899952 + 0.08647285i	0.1408407 - 0.02589837i	-0.3926430 + 0.2130454i	-0.3309137 + 0.1649526i	0.1065102 - 0.1632850i	-0.3196857 + 0.1146840i	0.000000 + 0.000000i
-0.1609158 - 0.02651083i	0.01493289 + 0.3572814i	-0.3018603 - 0.04186957i	-0.004076529 + 0.1566357i	0.06619573 - 0.2750990i	0.1012955 - 0.04626044i	-0.02212426 + 0.09260624i	-0.2977215 - 0.08786289i	-0.02812019 + 0.05495737i	-0.004827379 + 0.4674222i	-0.2767564 - 0.07344250i	0.1986639 + 0.1265346i	-0.1756887 - 0.01706055i	-6.522982e-05 + 0.3543062i	-0.08289433 + 0.08291414i	0.000000 + 0.000000i
0.02923240 - 0.2568857i	0.009455659 + 0.004964655i	-0.1456437 - 0.04937321i	0.1071074 - 0.1899329i	0.1693290 - 0.1401819i	-0.1244723 - 0.2021422i	0.2292994 + 0.02547731i	-0.006736208 - 0.2241150i	-0.2361317 - 0.3004107i	0.3486052 + 0.05330198i	0.4072155 - 0.05437938i	-0.02517805 + 0.1289766i	-0.02626678 + 0.08562060i	0.1447783 - 0.02549608i	-0.3156638 - 0.2607097i	0.000000 + 0.000000i
-0.5360668 - 0.03653830i	0.1924976 - 0.2883744i	-0.09384780 - 0.06964629i	0.08688747 - 0.05614490i	0.1273447 + 0.03030477i	0.1815848 - 0.06518245i	-0.3141387 - 0.06500714i	0.3352648 + 0.1067363i	0.07948808 - 0.04937901i	0.1174449 - 0.1148872i	-0.05294036 + 0.03935919i	0.06514779 + 0.07057741i	-0.3584742 + 0.1073038i	-0.2387275 + 0.08532074i	-0.1758152 - 0.03370426i	0.000000 + 0.000000i
0.07432514 + 0.06338079i	-0.1406891 - 0.02150629i	0.1354506 + 0.08449651i	0.05662293 - 0.3264715i	0.3715797 - 0.5198889i	-0.07881534 + 0.2252629i	-0.2045155 - 0.1253867i	0.008261627 + 0.2263796i	-0.06124420 + 0.1710117i	0.05985311 + 0.08586964i	-0.06955121 - 0.03654784i	-0.1666794 - 0.2715318i	-0.0008977305 + 0.05888693i	0.006193301 + 0.08190086i	0.1222856 - 0.2897344i	0.000000 + 0.000000i
-0.02116739 - 0.1068995i	0.01563725 + 0.1419519i	0.06465930 + 0.07865760i	0.06075888 + 0.2774991i	0.01582117 - 0.04426712i	-0.5891842 + 0.03035429i	-0.0002556508 + 0.3259718i	0.1508911 - 0.1651188i	0.1893189 - 0.01030464i	0.05248385 + 0.01152874i	-0.2513494 - 0.1112123i	-0.07423806 - 0.2104907i	-0.2460846 + 0.1311901i	-0.1497477 - 0.2988335i	-0.08917952 - 0.09198017i	0.000000 + 0.000000i
