-0.5281304 + 0.3718345i	-0.3624019 + 0.6049410i	0.6183935 + 0.6231770i	-1.438162 + 0.2482135i	1.823774 + 0.02032856i	0.8976769 - 0.8425596i	0.9779088 - 2.613230i	0.08840363 - 0.08025175i
1.849608 + 0.4852624i	0.6589684 + 1.991171i	-1.366831 + 0.9808489i	0.1872583 - 1.817859i	-0.6197542 + 0.8464250i	-0.1418406 + 1.184304i	0.2256336 - 0.5070729i	0.6164885 + 1.552433i
-0.8154007 - 0.1140404i	0.1710372 - 0.2479400i	-0.1347252 + 1.118389i	-0.8298454 - 0.6455266i	0.04846070 + 1.463788i	1.290566 + 0.7137578i	0.9520549 - 0.4835333i	-0.2371140 - 0.2855881i
0.2588829 + 1.855785i	-1.517494 + 1.346039i	-1.215266 - 1.196432i	0.9747228 - 1.656173i	-1.113006 - 0.3920817i	-0.3886249 + 1.200202i	0.3477320 - 0.9025892i	-1.539444 + 1.403851i
-0.9509215 + 0.1312563i	-0.2396983 - 1.126759i	-0.8989189 + 0.1614881i	0.6237239 - 1.371661i	-1.464585 + 1.187187i	-0.09027981 + 2.058684i	1.050425 + 2.321559i	-0.5516970 - 0.2281407i
-1.920145 + 1.534575i	-2.073267 - 0.9264204i	-0.04775324 - 1.557365i	0.9572974 + 0.4769691i	-0.2988456 - 1.434475i	-1.010419 - 0.4322433i	0.1913775 + 0.1137280i	-2.078944 - 0.6740363i
-0.1830745 + 0.1972829i	0.5811567 - 0.3532287i	-0.5620859 - 0.5216296i	1.331775 - 0.1584295i	-2.000204 - 0.7197587i	-1.963758 + 0.8277870i	-1.786443 + 1.868244i	1.102207 + 0.08235589i
-1.446150 - 1.099566i	-0.09612798 - 1.841210i	1.303959 - 0.5235351i	-0.8685697 + 1.500377i	0.9819542 - 0.4811774i	0.4602276 - 0.09161544i	-0.4128923 + 0.2041580i	-0.7502180 - 2.497150i
0.09314296 - 0.4193716i	-0.5158710 - 0.2291975i	0.6232985 - 0.9721920i	0.7234774 + 1.013796i	0.8213968 - 1.873481i	-1.691893 - 0.8669710i	-1.796635 - 0.02553466i	-0.07753913 + 0.1945011i
-0.1693355 - 1.937714i	1.311631 - 0.8797681i	1.195559 + 0.9856524i	-0.9894559 - 0.6770268i	0.4731432 + 0.9614447i	0.9342905 - 0.4974655i	-0.4528183 + 0.8110893i	1.459567 - 1.807365i
0.4800616 - 0.4185843i	0.03917379 + 0.6774573i	0.7860091 - 0.8117940i	-0.8835454 + 1.639306i	1.649821 - 0.7093717i	-0.003362190 - 2.157095i	-0.8677336 - 1.908279i	0.1162740 - 0.5038119i
2.233537 - 1.765973i	1.603139 + 1.023382i	-0.7233887 + 2.126844i	-1.499861 - 1.054019i	-0.4202254 + 1.074688i	0.2569351 + 0.7398105i	-0.5926273 + 0.2557375i	2.041827 + 0.6493802i
0.5027372 - 0.6531911i	0.5313788 + 0.2725058i	0.6273859 + 1.068402i	-1.548168 - 0.3613184i	1.608093 + 0.8591613i	1.814681 - 0.9058778i	1.660637 - 1.674928i	0.08394848 - 0.1523420i
1.065199 + 1.379201i	-0.03487840 + 1.844371i	-1.629905 + 0.1685279i	0.4471498 - 0.8764586i	-0.9728815 - 0.01818300i	0.3176353 + 0.7988094i	-0.3753590 - 0.4497956i	-0.1950032 + 1.880395i
0.06644159 - 0.3280543i	0.6466370 - 0.1508308i	-0.5897638 + 0.9947476i	-0.5727342 - 1.401742i	-0.8637549 + 1.755399i	1.969675 + 1.423838i	1.846227 + 0.4058818i	0.01568950 - 0.5479507i
-0.7528451 + 2.130478i	-1.594025 + 0.04035200i	-0.6242736 - 1.321817i	0.9462938 + 0.1883625i	-0.4603417 - 0.2479947i	-0.8970069 + 0.5149480i	0.4843028 - 0.02858204i	-1.765609 + 0.9526204i
